Currency Pair,Final Equity,Total Return (%),Equity Peak,Volatility (%),Sharpe Ratio,Sortino Ratio,Max Drawdown (%),Average Drawdown (%),Total Trades,Win Rate (%),Time in Market (%),Best Parameters
JPY/CHF,103517.34789402802,3.5173478940280183,103517.34789402802,10.621791464796809,5.999551944129851,0.0010504208597437621,-0.8885117338261361,-0.25767313612130827,64,32.8125,43.674698795180724,"{'rsi_length': 2, 'oversold': 30, 'overbought': 70, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
EUR/JPY,103009.45414919994,3.0094541491999407,103742.17514919993,8.63882899801474,6.314677377201858,0.0010901943547356185,-1.3487403082000138,-0.4503393373424847,17,41.17647058823529,58.43373493975904,"{'rsi_length': 5, 'oversold': 30, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
AUD/CHF,102673.76685888,2.673766858880001,102673.76685888,5.117907128489218,9.446344478509575,0.0012173684464238514,-0.5038679918093925,-0.11300423599963827,4,50.0,37.95180722891566,"{'rsi_length': 10, 'oversold': 30, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
NZD/CHF,102575.29100748002,2.5752910074800166,103233.74018748001,7.893132797281104,5.9256688648075055,0.001137164205981006,-0.9369624014321065,-0.3469871886154297,1,0.0,92.16867469879519,"{'rsi_length': 10, 'oversold': 30, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
NZD/CAD,102542.175667574,2.5421756675740035,102597.58809307401,5.959806863512832,7.726522477727057,0.0013094127735103517,-1.115374962773863,-0.2341901853819477,4,50.0,72.28915662650603,"{'rsi_length': 10, 'oversold': 30, 'overbought': 80, 'risk_percent': 0.02, 'stop_loss_percent': 0.02, 'take_profit_percent': 0.05}"
AUD/EUR,102264.01041328002,2.264010413280019,102583.44085328002,5.75937267361315,7.131534276706263,0.0012634324636920755,-0.7261886770724368,-0.19896901133522774,1,0.0,75.0,"{'rsi_length': 10, 'oversold': 30, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
GBP/CHF,101654.82185968402,1.654821859684016,102808.46735968401,6.900552507618002,4.380428584692456,0.000823873145729441,-1.1221308221275872,-0.22014537964617273,1,0.0,95.18072289156626,"{'rsi_length': 10, 'oversold': 30, 'overbought': 80, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
JPY/NZD,101627.31582601793,1.6273158260179337,101627.31582601793,11.509802964123777,2.6196672407176713,0.00044244634575637463,-1.7720728559430854,-0.7593345456824623,18,33.33333333333333,39.45783132530121,"{'rsi_length': 5, 'oversold': 20, 'overbought': 70, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
JPY/EUR,101577.87239799998,1.5778723979999778,101577.87239799998,10.73198993969158,2.7184960118693087,0.000417637488140554,-1.6095431768753832,-1.3614318745723608,3,0.0,17.46987951807229,"{'rsi_length': 10, 'oversold': 20, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
CAD/CHF,101496.12600898999,1.496126008989988,101496.12600898999,5.15612917145248,5.288402459037065,0.0009612069058047698,-0.6853286863001018,-0.29710730700558247,4,50.0,63.85542168674698,"{'rsi_length': 5, 'oversold': 10, 'overbought': 90, 'risk_percent': 0.01, 'stop_loss_percent': 0.01, 'take_profit_percent': 0.05}"
