Currency Pair,Final Equity,Total Return (%),CAGR (%),Max Drawdown (%),Sharpe Ratio,Total Trades,Time in Market (%)
AUD/USD,103615.39312903999,3.6153931290399925,26.234457381025855,-1.922448463905062,3.79891637807945,83,59.00216919739696
AUD/CHF,103222.57646756005,3.2225764675600512,22.32347975511384,-3.33805057509557,2.1495058988865083,85,60.39915966386554
JPY/CHF,103110.59002855008,3.110590028550083,21.482831161709505,-1.9025852014765012,1.9824841143317489,77,63.55042016806722
NZD/CHF,103085.17075349999,3.0851707534999875,21.317318519084584,-1.8497157402688302,2.420958017059418,95,63.09148264984227
NZD/USD,102042.49699223395,2.0424969922339513,14.11743560621963,-1.8329093371523288,2.0482226591088053,85,57.88336933045356
AUD/EUR,102018.20988079798,2.0182098807979783,13.355515745257108,-2.4175294069480007,1.893417191369556,91,63.27800829875518
JPY/GBP,101983.42023478201,1.98342023478201,12.998557099522934,-4.270257141615193,1.0402883743644316,92,63.580246913580254
GBP/USD,101638.32070424009,1.63832070424009,11.09636095708797,-1.0586324485700933,2.539424314583004,79,51.71306209850107
NZD/JPY,101629.38246820006,1.629382468200056,10.648833126581781,-5.146009252413511,0.9109511128803155,95,60.24844720496895
AUD/JPY,101546.18981479996,1.54618981479996,10.072033681979352,-5.585840981729993,0.7878560954097859,95,62.978283350568766
AUD/CAD,101539.68428146001,1.5396842814600096,10.51834793328812,-1.3005287518251334,2.125579211677123,85,56.81818181818182
EUR/USD,101297.88099130399,1.2978809913039877,8.44484691839542,-1.3438641555604018,1.7510166928115647,83,59.66735966735966
AUD/GBP,101293.895376962,1.2938953769619983,8.769103732771445,-1.864244673782921,1.5692411616005235,76,66.8108108108108
JPY/USD,101106.40992302398,1.1064099230239808,7.312046964444607,-2.5187467112579807,0.6669242540870963,84,60.6574761399788
JPY/EUR,100998.72362771598,0.9987236277159828,6.426357120672477,-3.2928349735362072,0.6242565314933465,86,59.68911917098445
CAD/USD,100805.56324345994,0.8055632434599393,5.5145215025486305,-1.2536908118370185,1.372025386220022,75,62.942477876106196
GBP/CAD,100779.65451950995,0.7796545195099461,5.174618174598411,-1.3173830044006483,1.4687797157393025,79,58.43179377013964
GBP/EUR,100585.81481572807,0.5858148157280666,3.7168631985262657,-1.4689164716922638,0.9557728417926984,79,65.80578512396694
GBP/CHF,100565.0147351419,0.5650147351419,3.5867038972049015,-2.4328869884514477,0.5618219142955849,85,61.116856256463294
NZD/EUR,100190.28686305002,0.1902868630500161,1.197340576802608,-1.527036141007993,0.23278287109851656,69,59.62732919254658
CHF/USD,100061.43230100595,0.06143230100594519,0.39549680160937406,-1.9047715613195575,0.09155221466128459,74,63.8682252922423
EUR/JPY,100055.92824860002,0.05592824860001565,0.35140383646343754,-3.082849332176216,0.08464093778619707,89,62.75933609958506
CHF/JPY,99969.10006080008,-0.03089993919992412,-0.1927054274169948,-3.4456585778693185,0.014551832954435665,89,64.80908152734777
NZD/AUD,99521.94482422006,-0.47805517577994033,-3.0879109918776515,-1.612063830496032,-0.6855056612570384,82,62.55411255411255
NZD/CAD,99346.35402199198,-0.6536459780080186,-4.201632414947831,-2.451231095371539,-0.7966859934317149,73,58.44155844155844
NZD/GBP,99315.92008562597,-0.6840799143740296,-4.3658415004121265,-1.9164191786308213,-0.8935094834998452,78,61.82795698924731
CHF/EUR,98781.15967382005,-1.2188403261799539,-7.383184340280147,-3.106147003579888,-1.35204627290744,86,60.59979317476733
AUD/NZD,98528.53375655993,-1.471466243440067,-9.247103702933057,-2.4232251410603167,-2.2407484895033987,77,69.15584415584416
USD/CAD,98525.88706922393,-1.4741129307760712,-9.37903943694921,-2.258036451000269,-2.7968790137675055,76,71.38157894736842
CHF/GBP,98520.85983920017,-1.479140160799827,-8.88155286313016,-2.545560786324326,-1.454372715760089,78,64.18988648090816
GBP/AUD,98466.11295460585,-1.5338870453941489,-9.622772225809474,-1.8058830332281068,-2.0491895086886136,75,65.5844155844156
GBP/JPY,98430.33299959997,-1.5696670004000335,-9.375248817891901,-4.70463659199998,-0.8254138238744811,91,60.802469135802475
EUR/CAD,98325.97241744792,-1.6740275825520803,-10.129592214036931,-2.789976952724448,-2.5701148951096893,72,64.22594142259415
JPY/AUD,98115.43658044185,-1.8845634195581515,-11.218584617849725,-5.479632277513201,-0.8449128655649069,92,64.52947259565667
GBP/NZD,98035.03341825005,-1.9649665817499482,-12.144436993751517,-2.26182016807406,-2.4174038817248524,81,62.99892125134844
CAD/EUR,97739.22711839997,-2.260772881600031,-13.364939562002442,-2.5772241764999633,-3.7474053836915626,75,65.66390041493776
EUR/CHF,97663.59774841405,-2.336402251585954,-13.771411237054032,-2.336402251585954,-2.827517177301114,75,66.21761658031087
EUR/GBP,97554.98898068203,-2.4450110193179717,-14.356891347545474,-2.894135444784652,-4.448404988701951,70,74.32712215320912
CAD/GBP,97317.14095010006,-2.68285904989994,-16.193998500247886,-3.532407034210616,-4.534608849800319,71,66.27282491944146
JPY/CAD,96891.45624532802,-3.1085437546719765,-17.93930336434386,-5.123157270419412,-1.5678370141335343,82,57.2463768115942
CAD/CHF,96857.8787643659,-3.142121235634098,-18.21941603534859,-3.3441273790573054,-3.1648318470173673,73,66.77083333333333
CHF/AUD,96846.04121796793,-3.1539587820320745,-18.26519310831426,-4.502515955169042,-2.3088931441701734,76,65.45265348595213
CAD/AUD,96727.30688816005,-3.2726931118399514,-19.5710746538282,-3.8353021279194657,-4.389592654316087,71,71.86147186147186
CHF/CAD,96472.92822551997,-3.5270717744800346,-20.133505268413565,-4.503336737055315,-3.4386013678450156,66,63.25051759834368
JPY/NZD,96352.83279952,-3.647167200480006,-20.73487824474106,-7.669680209788593,-1.7672458909241304,82,66.08066184074457
USD/EUR,96287.16235130007,-3.7128376486999333,-21.03360312182334,-4.0354336486999385,-4.3404740493266765,71,73.06501547987617
USD/JPY,96073.43882039984,-3.926561179600161,-22.061132580850796,-7.874263144800075,-2.150809597914042,87,62.757201646090536
EUR/AUD,95739.21732581804,-4.260782674181959,-23.925810889929632,-4.854115767316215,-4.77056113608977,73,69.78193146417445
CAD/JPY,95506.77226759994,-4.493227732400061,-25.011178253149758,-7.244500530368346,-2.7252650674001866,89,63.04347826086957
CHF/NZD,95331.32644664,-4.668673553360001,-25.89247546788456,-5.467391950445815,-3.817298985413748,76,64.9740932642487
CAD/NZD,95257.4345800599,-4.742565419940103,-27.241525339198567,-4.873383019940098,-4.981814863542481,63,70.34632034632034
EUR/NZD,95017.31362598392,-4.982686374016077,-27.62773003715945,-5.858060444527684,-5.249610791832808,77,68.09623430962343
USD/NZD,94851.18967748006,-5.148810322519945,-29.248675271349555,-5.509848322519946,-4.349758565782846,75,71.1038961038961
USD/AUD,94810.92859562993,-5.189071404370072,-29.49837343978221,-5.983431846276011,-4.806893056045175,75,72.77657266811279
USD/GBP,94725.41083806197,-5.274589161938027,-29.383543582442904,-5.849755169822425,-6.456137732553681,63,70.27600849256899
USD/CHF,94238.76315558002,-5.761236844419982,-31.004367906385145,-5.782450275359205,-5.522343086543102,69,67.42502585315408
